land_use_code,land_use,to_carb,precipitation_level,kpi,Whole_repsiration,ch4_kg_ha_yr,TopN2O,soil_type
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,M
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,A
15,Mixed fruits and vegetables,-0.2844095646618568,24.58,23321.377730767555,1.201476731328642,0.0020234722784297,1.45464825157475,O
15,Mixed fruits and vegetables,-0.1435765876465122,24.58,15126.916010139288,1.2697047166408983,0.0020234722784297,1.0308690805501122,C
15,Mixed fruits and vegetables,-0.1239250156689111,24.58,6901.103296358582,1.012706122740606,0.0020234722784297,0.3454704317184521,N
15,Mixed fruits and vegetables,0.0932082044137188,24.58,-1348.1008866284103,0.6088814393091009,0.0020234722784297,0.0798255683901924,B
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6758290598290599,4.046944556859572e-14,0.0020234722784297,4.047e-11,L
15,Mixed fruits and vegetables,-0.0241488766716645,24.58,4925.605736866395,1.0984606503949428,0.0020234722784297,0.3839101782306268,K
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,D
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,G
15,Mixed fruits and vegetables,0.020388064762947,24.58,1159.3982119349653,0.8308459334708008,0.0020234722784297,0.1460106252474873,Y
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,T
15,Mixed fruits and vegetables,8.993333333333334e-13,24.58,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,Q
15,Mixed fruits and vegetables,0.0445456551605361,28.18,4284.878037246303,1.085314189824618,0.0020234722784297,0.4739868945257967,M
15,Mixed fruits and vegetables,0.0746063105802596,28.18,3306.517127945629,1.0492411909036374,0.0020234722784297,0.4516849277314758,A
15,Mixed fruits and vegetables,8.993333333333334e-13,28.18,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,O
15,Mixed fruits and vegetables,8.993333333333334e-13,28.18,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,C
15,Mixed fruits and vegetables,-0.1028504355229852,28.18,7797.67683749056,1.1205314642371778,0.0020234722784297,0.4697667239104311,N
15,Mixed fruits and vegetables,0.0941084262451579,28.18,-1342.8352492111237,0.6383367236073061,0.0020234722784297,0.0822140889339155,B
15,Mixed fruits and vegetables,-0.2208077998011344,28.18,22197.012718173395,1.203508049705046,0.0020234722784297,1.49107909381064,L
15,Mixed fruits and vegetables,-0.0279294483823522,28.18,4612.254384680294,1.106316155636008,0.0020234722784297,0.3481263798363106,K
15,Mixed fruits and vegetables,0.1196050381971909,28.18,255.48700874511505,1.0094516091930574,0.0020234722784297,0.2780134748489077,D
15,Mixed fruits and vegetables,0.0931340095452423,28.18,10752.741934830234,1.1057831388546449,0.0020234722784297,1.1496999087997104,G
15,Mixed fruits and vegetables,8.993333333333334e-13,28.18,0.6758290598290599,4.046944556859572e-14,0.0020234722784297,4.047e-11,Y
15,Mixed fruits and vegetables,8.993333333333334e-13,28.18,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,T
15,Mixed fruits and vegetables,0.0445456551605361,28.18,4284.878037246303,1.085314189824618,0.0020234722784297,0.4739868945257967,Q
15,Mixed fruits and vegetables,0.0493546405493692,30.39,3973.066668199104,1.1000483806657404,0.0020234722784297,0.4566868307739745,M
15,Mixed fruits and vegetables,0.0794953316626429,30.39,3057.8172202353176,1.063453760644984,0.0020234722784297,0.4401365114169805,A
15,Mixed fruits and vegetables,-0.2907830107200359,30.39,17832.731008928233,1.263582532815131,0.0020234722784297,0.955695764804768,O
15,Mixed fruits and vegetables,-0.1435765876465122,30.39,15126.916010139288,1.2697047166408983,0.0020234722784297,1.0308690805501122,C
15,Mixed fruits and vegetables,-0.0837293005002377,30.39,7338.640216051885,1.1953766083764,0.0020234722784297,0.4700193277737649,N
15,Mixed fruits and vegetables,0.1061606531763724,30.39,-1657.8789471218215,0.6948713692643234,0.0020234722784297,0.0800999920059166,B
15,Mixed fruits and vegetables,-0.2161084983704948,30.39,21684.28626113264,1.221526431285913,0.0020234722784297,1.4557786412333782,L
15,Mixed fruits and vegetables,-0.0240693241217575,30.39,4249.362658113798,1.1219131843445027,0.0020234722784297,0.3242826919501328,K
15,Mixed fruits and vegetables,0.1361226471611843,30.39,158.89200561768834,1.03977896435782,0.0020234722784297,0.3047540980753703,D
15,Mixed fruits and vegetables,0.0968890515467995,30.39,10897.927551795969,1.113084658620382,0.0020234722784297,1.1705589659374438,G
15,Mixed fruits and vegetables,0.072542773137924,30.39,735.231394048232,1.063322784072661,0.0020234722784297,0.2199073600531291,Y
15,Mixed fruits and vegetables,-0.0707338383826288,30.39,15985.98052864154,1.185727949625333,0.0020234722784297,1.2624270170456486,T
15,Mixed fruits and vegetables,0.0493546405493692,30.39,3973.066668199104,1.1000483806657404,0.0020234722784297,0.4566868307739745,Q
15,Mixed fruits and vegetables,0.0714451367206143,32.16,4869.2729684846445,1.17293022417689,0.0020234722784297,0.5831206774796164,M
15,Mixed fruits and vegetables,0.1054425338066646,32.16,4447.554964662471,1.1123765349097252,0.0020234722784297,0.618449371154584,A
